,gene_symbols
ENSG00000188647,PTAR1
ENSG00000101210,EEF1A2
ENSG00000126705,AHDC1
ENSG00000070081,NUCB2
ENSG00000150551,LYPD1
ENSG00000132170,PPARG
ENSG00000112984,KIF20A
ENSG00000100280,AP1B1
ENSG00000143228,NUF2
ENSG00000116497,S100PBP
ENSG00000122574,WIPF3
ENSG00000135506,OS9
ENSG00000175899,A2M
ENSG00000115760,BIRC6
ENSG00000130755,GMFG
ENSG00000227051,C14orf132
ENSG00000146112,PPP1R18
ENSG00000103415,HMOX2
ENSG00000185112,FAM43A
ENSG00000107099,DOCK8
ENSG00000136099,PCDH8
ENSG00000124788,ATXN1
ENSG00000188185,LINC00265
ENSG00000245067,IGFBP7-AS1
ENSG00000028137,TNFRSF1B
ENSG00000123684,LPGAT1
ENSG00000020181,ADGRA2
ENSG00000077942,FBLN1
ENSG00000112715,VEGFA
ENSG00000187775,DNAH17
ENSG00000155111,CDK19
ENSG00000034152,MAP2K3
ENSG00000170464,DNAJC18
ENSG00000163191,S100A11
ENSG00000026297,RNASET2
ENSG00000198805,PNP
ENSG00000183826,BTBD9
ENSG00000162433,AK4
ENSG00000109107,ALDOC
ENSG00000122224,LY9
ENSG00000198825,INPP5F
ENSG00000157782,CABP1
ENSG00000170677,SOCS6
ENSG00000168003,SLC3A2
ENSG00000123119,NECAB1
ENSG00000173267,SNCG
ENSG00000246922,UBAP1L
ENSG00000011198,ABHD5
ENSG00000169249,ZRSR2
ENSG00000140022,STON2
ENSG00000088888,MAVS
ENSG00000151690,MFSD6
ENSG00000169871,TRIM56
ENSG00000189057,FAM111B
ENSG00000128683,GAD1
ENSG00000196684,HSH2D
ENSG00000134986,NREP
ENSG00000249307,LINC01088
ENSG00000229807,XIST
ENSG00000182809,CRIP2
ENSG00000243811,APOBEC3D
ENSG00000175215,CTDSP2
ENSG00000169851,PCDH7
ENSG00000154654,NCAM2
ENSG00000187678,SPRY4
ENSG00000162496,DHRS3
ENSG00000122477,LRRC39
ENSG00000163412,EIF4E3
ENSG00000270419,CAHM
ENSG00000149243,KLHL35
ENSG00000169371,SNUPN
ENSG00000110693,SOX6
ENSG00000277089,AC069363.1
ENSG00000095637,SORBS1
ENSG00000089127,OAS1
ENSG00000134184,GSTM1
ENSG00000179583,CIITA
ENSG00000134294,SLC38A2
ENSG00000172183,ISG20
ENSG00000182103,FAM181B
ENSG00000198846,TOX
ENSG00000079257,LXN
ENSG00000140937,CDH11
ENSG00000171385,KCND3
ENSG00000134594,RAB33A
ENSG00000104435,STMN2
ENSG00000187398,LUZP2
ENSG00000150656,CNDP1
ENSG00000205364,MT1M
ENSG00000186193,SAPCD2
ENSG00000163328,GPR155
ENSG00000105717,PBX4
ENSG00000213398,LCAT
ENSG00000121741,ZMYM2
ENSG00000143772,ITPKB
ENSG00000114405,C3orf14
ENSG00000162614,NEXN
ENSG00000174469,CNTNAP2
ENSG00000112874,NUDT12
ENSG00000169607,CKAP2L
ENSG00000166405,RIC3
ENSG00000120437,ACAT2
ENSG00000135525,MAP7
ENSG00000228784,LINC00954
ENSG00000184226,PCDH9
ENSG00000273608,SRCIN1
ENSG00000133874,RNF122
ENSG00000182463,TSHZ2
ENSG00000152253,SPC25
ENSG00000064787,BCAS1
ENSG00000107719,PALD1
ENSG00000117594,HSD11B1
ENSG00000129757,CDKN1C
ENSG00000113083,LOX
ENSG00000162992,NEUROD1
ENSG00000117425,PTCH2
ENSG00000070718,AP3M2
ENSG00000166912,MTMR10
ENSG00000106538,RARRES2
ENSG00000272994,RP11-332H14.2
ENSG00000135472,FAIM2
ENSG00000144596,GRIP2
ENSG00000141664,ZCCHC2
ENSG00000197043,ANXA6
ENSG00000117632,STMN1
ENSG00000162545,CAMK2N1
ENSG00000123338,NCKAP1L
ENSG00000155329,ZCCHC10
ENSG00000148158,SNX30
ENSG00000163545,NUAK2
ENSG00000187135,VSTM2B
ENSG00000266094,RASSF5
ENSG00000049540,ELN
ENSG00000196417,ZNF765
ENSG00000111077,TNS2
ENSG00000159899,NPR2
ENSG00000086619,ERO1B
ENSG00000090376,IRAK3
ENSG00000137962,ARHGAP29
ENSG00000198740,ZNF652
ENSG00000112796,ENPP5
ENSG00000137198,GMPR
ENSG00000106948,AKNA
ENSG00000175445,LPL
ENSG00000173559,NABP1
ENSG00000122691,TWIST1
ENSG00000004700,RECQL
ENSG00000105939,ZC3HAV1
ENSG00000154721,JAM2
ENSG00000111203,ITFG2
ENSG00000179083,FAM133A
ENSG00000128383,APOBEC3A
ENSG00000177301,KCNA2
ENSG00000136826,KLF4
ENSG00000118873,RAB3GAP2
ENSG00000207955,MIR219A2
ENSG00000120885,CLU
ENSG00000117318,ID3
ENSG00000148175,STOM
ENSG00000058866,DGKG
ENSG00000169436,COL22A1
ENSG00000253276,CCDC71L
ENSG00000131389,SLC6A6
ENSG00000168675,LDLRAD4
ENSG00000131378,RFTN1
ENSG00000176171,BNIP3
ENSG00000092068,SLC7A8
ENSG00000132274,TRIM22
ENSG00000119950,MXI1
ENSG00000008277,ADAM22
ENSG00000123609,NMI
ENSG00000091986,CCDC80
ENSG00000109339,MAPK10
ENSG00000148143,ZNF462
ENSG00000130600,H19
ENSG00000235903,CPB2-AS1
ENSG00000107798,LIPA
ENSG00000180011,ZADH2
ENSG00000131149,GSE1
ENSG00000112118,MCM3
ENSG00000132849,PATJ
ENSG00000080573,COL5A3
ENSG00000245904,RP11-796E2.4
ENSG00000103490,PYCARD
ENSG00000103710,RASL12
ENSG00000154099,DNAAF1
ENSG00000135473,PAN2
ENSG00000225217,HSPA7
ENSG00000075711,DLG1
ENSG00000005884,ITGA3
ENSG00000105409,ATP1A3
ENSG00000132481,TRIM47
ENSG00000119547,ONECUT2
ENSG00000249992,TMEM158
ENSG00000134569,LRP4
ENSG00000171291,ZNF439
ENSG00000168803,ADAL
ENSG00000184979,USP18
ENSG00000223797,ENTPD3-AS1
ENSG00000114796,KLHL24
ENSG00000012822,CALCOCO1
ENSG00000119682,AREL1
ENSG00000197959,DNM3
ENSG00000184939,ZFP90
ENSG00000057935,MTA3
ENSG00000225140,RP11-809C18.3
ENSG00000182963,GJC1
ENSG00000154146,NRGN
ENSG00000187601,MAGEH1
ENSG00000141542,RAB40B
ENSG00000106484,MEST
ENSG00000215018,COL28A1
ENSG00000137285,TUBB2B
ENSG00000174576,NPAS4
ENSG00000027697,IFNGR1
ENSG00000155657,TTN
ENSG00000136158,SPRY2
ENSG00000145386,CCNA2
ENSG00000101109,STK4
ENSG00000184922,FMNL1
ENSG00000101938,CHRDL1
ENSG00000166436,TRIM66
ENSG00000109846,CRYAB
ENSG00000138767,CNOT6L
ENSG00000078304,PPP2R5C
ENSG00000006042,TMEM98
ENSG00000135164,DMTF1
ENSG00000118407,FILIP1
ENSG00000120306,CYSTM1
ENSG00000168280,KIF5C
ENSG00000138670,RASGEF1B
ENSG00000106624,AEBP1
ENSG00000106991,ENG
ENSG00000116852,KIF21B
ENSG00000185950,IRS2
ENSG00000144406,UNC80
ENSG00000117586,TNFSF4
ENSG00000197279,ZNF165
ENSG00000187239,FNBP1
ENSG00000166086,JAM3
ENSG00000077514,POLD3
ENSG00000111961,SASH1
ENSG00000198756,COLGALT2
ENSG00000105711,SCN1B
ENSG00000164002,EXO5
ENSG00000204388,HSPA1B
ENSG00000175155,YPEL2
ENSG00000125846,ZNF133
ENSG00000137502,RAB30
ENSG00000165030,NFIL3
ENSG00000123411,IKZF4
ENSG00000101057,MYBL2
ENSG00000123405,NFE2
ENSG00000123104,ITPR2
ENSG00000155629,PIK3AP1
ENSG00000171914,TLN2
ENSG00000198300,PEG3
ENSG00000068724,TTC7A
ENSG00000107249,GLIS3
ENSG00000230084,RP4-613B23.1
ENSG00000157426,AASDH
ENSG00000092529,CAPN3
ENSG00000073417,PDE8A
ENSG00000164880,INTS1
ENSG00000137491,SLCO2B1
ENSG00000103550,KNOP1
ENSG00000148123,PLPPR1
ENSG00000198538,ZNF28
ENSG00000095713,CRTAC1
ENSG00000115266,APC2
ENSG00000183160,TMEM119
ENSG00000067365,METTL22
ENSG00000148019,CEP78
ENSG00000107485,GATA3
ENSG00000136040,PLXNC1
ENSG00000144485,HES6
ENSG00000015413,DPEP1
ENSG00000151779,NBAS
ENSG00000173269,MMRN2
ENSG00000052802,MSMO1
ENSG00000250303,RP11-356J5.12
ENSG00000176641,RNF152
ENSG00000183943,PRKX
ENSG00000151065,DCP1B
ENSG00000262484,CCER2
ENSG00000065357,DGKA
ENSG00000132646,PCNA
ENSG00000198932,GPRASP1
ENSG00000185219,ZNF445
ENSG00000187164,SHTN1
ENSG00000198945,L3MBTL3
ENSG00000182179,UBA7
ENSG00000136111,TBC1D4
ENSG00000138468,SENP7
ENSG00000147454,SLC25A37
ENSG00000095397,WHRN
ENSG00000168824,NSG1
ENSG00000070404,FSTL3
ENSG00000176014,TUBB6
ENSG00000183454,GRIN2A
ENSG00000116604,MEF2D
ENSG00000143178,TBX19
ENSG00000213366,GSTM2
ENSG00000204592,HLA-E
ENSG00000154310,TNIK
ENSG00000115896,PLCL1
ENSG00000162711,NLRP3
ENSG00000179820,MYADM
ENSG00000176542,USF3
ENSG00000198513,ATL1
ENSG00000111907,TPD52L1
ENSG00000147813,NAPRT
ENSG00000091879,ANGPT2
ENSG00000164330,EBF1
ENSG00000128606,LRRC17
ENSG00000076003,MCM6
ENSG00000120278,PLEKHG1
ENSG00000266967,AARSD1
ENSG00000156219,ART3
ENSG00000113594,LIFR
ENSG00000186104,CYP2R1
ENSG00000163811,WDR43
ENSG00000198056,PRIM1
ENSG00000205560,CPT1B
ENSG00000150867,PIP4K2A
ENSG00000074755,ZZEF1
ENSG00000084636,COL16A1
ENSG00000182636,NDN
ENSG00000137804,NUSAP1
ENSG00000172965,MIR4435-2HG
ENSG00000273749,CYFIP1
ENSG00000119661,DNAL1
ENSG00000196754,S100A2
ENSG00000134363,FST
ENSG00000115525,ST3GAL5
ENSG00000158050,DUSP2
ENSG00000078596,ITM2A
ENSG00000134830,C5AR2
ENSG00000180481,GLIPR1L2
ENSG00000198157,HMGN5
ENSG00000188994,ZNF292
ENSG00000239474,KLHL41
ENSG00000153933,DGKE
ENSG00000176422,SPRYD4
ENSG00000066468,FGFR2
ENSG00000140416,TPM1
ENSG00000118985,ELL2
ENSG00000163257,DCAF16
ENSG00000138709,LARP1B
ENSG00000243943,ZNF512
ENSG00000128283,CDC42EP1
ENSG00000196730,DAPK1
ENSG00000181350,LRRC75A
ENSG00000124782,RREB1
ENSG00000123358,NR4A1
ENSG00000196628,TCF4
ENSG00000198363,ASPH
ENSG00000132530,XAF1
ENSG00000168010,ATG16L2
ENSG00000256235,SMIM3
ENSG00000117139,KDM5B
ENSG00000166348,USP54
ENSG00000169946,ZFPM2
ENSG00000124762,CDKN1A
ENSG00000188227,ZNF793
ENSG00000165478,HEPACAM
ENSG00000105866,SP4
ENSG00000197696,NMB
ENSG00000136869,TLR4
ENSG00000131470,PSMC3IP
ENSG00000187951,ARHGAP11B
ENSG00000130147,SH3BP4
ENSG00000135821,GLUL
ENSG00000129103,SUMF2
ENSG00000145220,LYAR
ENSG00000213928,IRF9
ENSG00000137642,SORL1
ENSG00000086730,LAT2
ENSG00000107968,MAP3K8
ENSG00000111845,PAK1IP1
ENSG00000163814,CDCP1
ENSG00000170989,S1PR1
ENSG00000102908,NFAT5
ENSG00000112280,COL9A1
ENSG00000135245,HILPDA
ENSG00000182400,TRAPPC6B
ENSG00000135407,AVIL
ENSG00000157379,DHRS1
ENSG00000156958,GALK2
ENSG00000072756,TRNT1
ENSG00000078804,TP53INP2
ENSG00000144810,COL8A1
ENSG00000112343,TRIM38
ENSG00000197971,MBP
ENSG00000174564,IL20RB
ENSG00000128590,DNAJB9
ENSG00000136244,IL6
ENSG00000149557,FEZ1
ENSG00000164047,CAMP
ENSG00000124659,TBCC
ENSG00000090857,PDPR
ENSG00000063587,ZNF275
ENSG00000139352,ASCL1
ENSG00000136235,GPNMB
ENSG00000006062,MAP3K14
ENSG00000166582,CENPV
ENSG00000120915,EPHX2
ENSG00000130775,THEMIS2
ENSG00000137486,ARRB1
ENSG00000104447,TRPS1
ENSG00000152270,PDE3B
ENSG00000173852,DPY19L1
ENSG00000187720,THSD4
ENSG00000170439,METTL7B
ENSG00000085433,WDR47
ENSG00000120709,FAM53C
ENSG00000110876,SELPLG
ENSG00000125772,GPCPD1
ENSG00000196502,SULT1A1
ENSG00000118432,CNR1
ENSG00000122417,ODF2L
ENSG00000183230,CTNNA3
ENSG00000136925,TSTD2
ENSG00000141576,RNF157
ENSG00000119655,NPC2
ENSG00000100399,CHADL
ENSG00000140057,AK7
ENSG00000181019,NQO1
ENSG00000115808,STRN
ENSG00000070501,POLB
ENSG00000100285,NEFH
ENSG00000038427,VCAN
ENSG00000148357,HMCN2
ENSG00000101187,SLCO4A1
ENSG00000185261,KIAA0825
ENSG00000130396,AFDN
ENSG00000111215,PRR4
ENSG00000181467,RAP2B
ENSG00000168078,PBK
ENSG00000182718,ANXA2
ENSG00000170873,MTSS1
ENSG00000069122,ADGRF5
ENSG00000136144,RCBTB1
ENSG00000167740,CYB5D2
ENSG00000041982,TNC
ENSG00000165392,WRN
ENSG00000108691,CCL2
ENSG00000052749,RRP12
ENSG00000273706,LHX1
ENSG00000068650,ATP11A
ENSG00000178607,ERN1
ENSG00000183578,TNFAIP8L3
ENSG00000015568,RGPD5
ENSG00000130222,GADD45G
ENSG00000173376,NDNF
ENSG00000173207,CKS1B
ENSG00000084710,EFR3B
ENSG00000126787,DLGAP5
ENSG00000187479,C11orf96
ENSG00000109756,RAPGEF2
ENSG00000133067,LGR6
ENSG00000171843,MLLT3
ENSG00000119801,YPEL5
ENSG00000183718,TRIM52
ENSG00000270641,TSIX
ENSG00000132386,SERPINF1
ENSG00000128881,TTBK2
ENSG00000100592,DAAM1
ENSG00000159433,STARD9
ENSG00000106689,LHX2
ENSG00000272316,XXbac-BPGBPG55C20.2
ENSG00000170684,ZNF296
ENSG00000101204,CHRNA4
ENSG00000149485,FADS1
ENSG00000177108,ZDHHC22
ENSG00000185818,NAT8L
ENSG00000130830,MPP1
ENSG00000135094,SDS
ENSG00000136810,TXN
ENSG00000105122,RASAL3
ENSG00000088325,TPX2
ENSG00000185697,MYBL1
ENSG00000181026,AEN
ENSG00000163516,ANKZF1
ENSG00000184005,ST6GALNAC3
ENSG00000124159,MATN4
ENSG00000113555,PCDH12
ENSG00000069399,BCL3
ENSG00000241399,CD302
ENSG00000162073,PAQR4
ENSG00000136295,TTYH3
ENSG00000113448,PDE4D
ENSG00000261326,LINC01355
ENSG00000068831,RASGRP2
ENSG00000135077,HAVCR2
ENSG00000086062,B4GALT1
ENSG00000011426,ANLN
ENSG00000087589,CASS4
ENSG00000196743,GM2A
ENSG00000134107,BHLHE40
ENSG00000172264,MACROD2
ENSG00000104549,SQLE
ENSG00000159842,ABR
ENSG00000160796,NBEAL2
ENSG00000070087,PFN2
ENSG00000119138,KLF9
ENSG00000143891,GALM
ENSG00000178567,EPM2AIP1
ENSG00000104327,CALB1
ENSG00000138646,HERC5
ENSG00000124225,PMEPA1
ENSG00000101670,LIPG
ENSG00000170571,EMB
ENSG00000100867,DHRS2
ENSG00000137266,SLC22A23
ENSG00000142102,PGGHG
ENSG00000142303,ADAMTS10
ENSG00000173114,LRRN3
ENSG00000273723,RP11-93H24.3
ENSG00000187416,LHFPL3
ENSG00000126217,MCF2L
ENSG00000107890,ANKRD26
ENSG00000176994,SMCR8
ENSG00000149948,HMGA2
ENSG00000161082,CELF5
ENSG00000167654,ATCAY
ENSG00000163564,PYHIN1
ENSG00000186908,ZDHHC17
ENSG00000164611,PTTG1
ENSG00000152061,RABGAP1L
ENSG00000006459,KDM7A
ENSG00000134769,DTNA
ENSG00000112769,LAMA4
ENSG00000265763,ZNF488
ENSG00000168496,FEN1
ENSG00000184258,CDR1
ENSG00000136026,CKAP4
ENSG00000180628,PCGF5
ENSG00000155090,KLF10
ENSG00000105559,PLEKHA4
ENSG00000262202,RP11-160E2.6
ENSG00000105483,CARD8
ENSG00000196368,NUDT11
ENSG00000235823,OLMALINC
ENSG00000198576,ARC
ENSG00000184863,RBM33
ENSG00000176771,NCKAP5
ENSG00000101255,TRIB3
ENSG00000185920,PTCH1
ENSG00000113532,ST8SIA4
ENSG00000123080,CDKN2C
ENSG00000172345,STARD5
ENSG00000189134,NKAPL
ENSG00000175206,NPPA
ENSG00000155719,OTOA
ENSG00000137310,TCF19
ENSG00000113805,CNTN3
ENSG00000138756,BMP2K
ENSG00000158869,FCER1G
ENSG00000242265,PEG10
ENSG00000145824,CXCL14
ENSG00000100731,PCNX1
ENSG00000168792,ABHD15
ENSG00000232352,SEMA3B-AS1
ENSG00000162676,GFI1
ENSG00000130508,PXDN
ENSG00000064547,LPAR2
ENSG00000249437,NAIP
ENSG00000187187,ZNF546
ENSG00000173933,RBM4
ENSG00000101347,SAMHD1
ENSG00000204149,AGAP6
ENSG00000140451,PIF1
ENSG00000134955,SLC37A2
ENSG00000140545,MFGE8
ENSG00000100027,YPEL1
ENSG00000164619,BMPER
ENSG00000174292,TNK1
ENSG00000152422,XRCC4
ENSG00000120833,SOCS2
ENSG00000281186,LINC00706
ENSG00000152931,PART1
ENSG00000228716,DHFR
ENSG00000148700,ADD3
ENSG00000163703,CRELD1
ENSG00000154096,THY1
ENSG00000185215,TNFAIP2
ENSG00000278002,RP11-596C23.2
ENSG00000224911,AC015936.3
ENSG00000144354,CDCA7
ENSG00000169398,PTK2
ENSG00000135269,TES
ENSG00000110274,CEP164
ENSG00000198840,MT-ND3
ENSG00000013374,NUB1
ENSG00000103876,FAH
ENSG00000152219,ARL14EP
ENSG00000188060,RAB42
ENSG00000143878,RHOB
ENSG00000129009,ISLR
ENSG00000113739,STC2
ENSG00000106366,SERPINE1
ENSG00000271383,NBPF19
ENSG00000203883,SOX18
ENSG00000244879,GABPB1-AS1
ENSG00000104738,MCM4
ENSG00000157036,EXOG
ENSG00000153563,CD8A
ENSG00000109832,DDX25
ENSG00000189233,NUGGC
ENSG00000204099,NEU4
ENSG00000008513,ST3GAL1
ENSG00000171848,RRM2
ENSG00000173818,ENDOV
ENSG00000135636,DYSF
ENSG00000134138,MEIS2
ENSG00000173404,INSM1
ENSG00000135643,KCNMB4
ENSG00000163728,TTC14
ENSG00000108932,SLC16A6
ENSG00000179761,PIPOX
ENSG00000128573,FOXP2
ENSG00000106829,TLE4
ENSG00000261934,PCDHGA9
ENSG00000107863,ARHGAP21
ENSG00000132669,RIN2
ENSG00000124935,SCGB1D2
ENSG00000177888,ZBTB41
ENSG00000181135,ZNF707
ENSG00000188404,SELL
ENSG00000152580,IGSF10
ENSG00000164342,TLR3
ENSG00000112893,MAN2A1
ENSG00000154122,ANKH
ENSG00000085871,MGST2
ENSG00000154217,PITPNC1
ENSG00000114019,AMOTL2
ENSG00000072571,HMMR
ENSG00000168036,CTNNB1
ENSG00000164434,FABP7
ENSG00000167553,TUBA1C
ENSG00000183337,BCOR
ENSG00000136848,DAB2IP
ENSG00000256223,ZNF10
ENSG00000101463,SYNDIG1
ENSG00000145216,FIP1L1
ENSG00000019144,PHLDB1
ENSG00000115590,IL1R2
ENSG00000164687,FABP5
ENSG00000185745,IFIT1
ENSG00000137033,IL33
ENSG00000128917,DLL4
ENSG00000100211,CBY1
ENSG00000018236,CNTN1
ENSG00000198959,TGM2
ENSG00000106066,CPVL
ENSG00000182534,MXRA7
ENSG00000066027,PPP2R5A
ENSG00000125629,INSIG2
ENSG00000153363,LINC00467
ENSG00000167900,TK1
ENSG00000196459,TRAPPC2
ENSG00000245532,NEAT1
ENSG00000121653,MAPK8IP1
ENSG00000204482,LST1
ENSG00000189221,MAOA
ENSG00000166920,C15orf48
ENSG00000112378,PERP
ENSG00000169554,ZEB2
ENSG00000110076,NRXN2
ENSG00000121039,RDH10
ENSG00000154493,C10orf90
ENSG00000166762,CATSPER2
ENSG00000188931,CFAP126
ENSG00000142512,SIGLEC10
ENSG00000116717,GADD45A
ENSG00000107957,SH3PXD2A
ENSG00000113916,BCL6
ENSG00000184371,CSF1
ENSG00000262280,RP11-849I19.1
ENSG00000179431,FJX1
ENSG00000089041,P2RX7
ENSG00000142065,ZFP14
ENSG00000099194,SCD
ENSG00000165646,SLC18A2
ENSG00000162745,OLFML2B
ENSG00000001561,ENPP4
ENSG00000103316,CRYM
ENSG00000034053,APBA2
ENSG00000152661,GJA1
ENSG00000075426,FOSL2
ENSG00000113810,SMC4
ENSG00000154856,APCDD1
ENSG00000170545,SMAGP
ENSG00000185946,RNPC3
ENSG00000140511,HAPLN3
ENSG00000165409,TSHR
ENSG00000197329,PELI1
ENSG00000105835,NAMPT
ENSG00000188906,LRRK2
ENSG00000117724,CENPF
ENSG00000160271,RALGDS
ENSG00000138119,MYOF
ENSG00000126262,FFAR2
ENSG00000054356,PTPRN
ENSG00000182175,RGMA
ENSG00000184205,TSPYL2
ENSG00000100100,PIK3IP1
ENSG00000122035,RASL11A
ENSG00000122786,CALD1
ENSG00000143013,LMO4
ENSG00000116584,ARHGEF2
ENSG00000124785,NRN1
ENSG00000170921,TANC2
ENSG00000169860,P2RY1
ENSG00000128791,TWSG1
ENSG00000028839,TBPL1
ENSG00000169297,NR0B1
ENSG00000130164,LDLR
ENSG00000077063,CTTNBP2
ENSG00000139187,KLRG1
ENSG00000176049,JAKMIP2
ENSG00000109881,CCDC34
ENSG00000102738,MRPS31
ENSG00000134285,FKBP11
ENSG00000175274,TP53I11
ENSG00000132436,FIGNL1
ENSG00000155850,SLC26A2
ENSG00000130821,SLC6A8
ENSG00000235750,KIAA0040
ENSG00000164463,CREBRF
ENSG00000127334,DYRK2
ENSG00000198865,CCDC152
ENSG00000138182,KIF20B
ENSG00000046889,PREX2
ENSG00000124140,SLC12A5
ENSG00000107331,ABCA2
ENSG00000143740,SNAP47
ENSG00000143333,RGS16
ENSG00000101000,PROCR
ENSG00000110237,ARHGEF17
ENSG00000163291,PAQR3
ENSG00000157103,SLC6A1
ENSG00000150510,FAM124A
ENSG00000182379,NXPH4
ENSG00000137501,SYTL2
ENSG00000046651,OFD1
ENSG00000164849,GPR146
ENSG00000181104,F2R
ENSG00000136490,LIMD2
ENSG00000151240,DIP2C
ENSG00000107938,EDRF1
ENSG00000215183,MSMP
ENSG00000172794,RAB37
ENSG00000166596,CFAP52
ENSG00000213190,MLLT11
ENSG00000197747,S100A10
ENSG00000100162,CENPM
ENSG00000162777,DENND2D
ENSG00000154743,TSEN2
ENSG00000123297,TSFM
ENSG00000179094,PER1
ENSG00000214900,LINC01588
ENSG00000100083,GGA1
ENSG00000139289,PHLDA1
ENSG00000112972,HMGCS1
ENSG00000198523,PLN
ENSG00000127249,ATP13A4
ENSG00000130589,HELZ2
ENSG00000185022,MAFF
ENSG00000173575,CHD2
ENSG00000103260,METRN
ENSG00000137941,TTLL7
ENSG00000113161,HMGCR
ENSG00000156042,CFAP70
ENSG00000143499,SMYD2
ENSG00000071246,VASH1
ENSG00000275111,ZNF2
ENSG00000131459,GFPT2
ENSG00000120008,WDR11
ENSG00000144339,TMEFF2
ENSG00000189058,APOD
ENSG00000162413,KLHL21
ENSG00000233429,HOTAIRM1
ENSG00000088827,SIGLEC1
ENSG00000237248,LINC00987
ENSG00000118997,DNAH7
ENSG00000183549,ACSM5
ENSG00000265692,RP13-516M14.4
ENSG00000090104,RGS1
ENSG00000134716,CYP2J2
ENSG00000234883,MIR155HG
ENSG00000272009,RP1-313I6.12
ENSG00000167641,PPP1R14A
ENSG00000110047,EHD1
ENSG00000109805,NCAPG
ENSG00000177694,NAALADL2
ENSG00000236824,BCYRN1
ENSG00000196562,SULF2
ENSG00000253716,MINCR
ENSG00000166426,CRABP1
ENSG00000256463,SALL3
ENSG00000099998,GGT5
ENSG00000131477,RAMP2
ENSG00000143545,RAB13
ENSG00000090659,CD209
ENSG00000150540,HNMT
ENSG00000159023,EPB41
ENSG00000180353,HCLS1
ENSG00000059588,TARBP1
ENSG00000164197,RNF180
ENSG00000165494,PCF11
ENSG00000213889,PPM1N
ENSG00000156265,MAP3K7CL
ENSG00000128050,PAICS
ENSG00000150712,MTMR12
ENSG00000185420,SMYD3
ENSG00000135424,ITGA7
ENSG00000168481,LGI3
ENSG00000081320,STK17B
ENSG00000182916,TCEAL7
ENSG00000145703,IQGAP2
ENSG00000116641,DOCK7
ENSG00000172578,KLHL6
ENSG00000162706,CADM3
ENSG00000158270,COLEC12
ENSG00000187535,IFT140
ENSG00000151461,UPF2
ENSG00000003756,RBM5
ENSG00000084453,SLCO1A2
ENSG00000205403,CFI
ENSG00000196526,AFAP1
ENSG00000155093,PTPRN2
ENSG00000019582,CD74
ENSG00000170113,NIPA1
ENSG00000107551,RASSF4
ENSG00000133063,CHIT1
ENSG00000158715,SLC45A3
ENSG00000134321,RSAD2
ENSG00000090554,FLT3LG
ENSG00000100596,SPTLC2
ENSG00000162623,TYW3
ENSG00000152377,SPOCK1
ENSG00000141337,ARSG
ENSG00000136237,RAPGEF5
ENSG00000171428,NAT1
ENSG00000107105,ELAVL2
ENSG00000198771,RCSD1
ENSG00000062716,VMP1
ENSG00000214548,MEG3
ENSG00000143768,LEFTY2
ENSG00000167371,PRRT2
ENSG00000206450,HLA-B
ENSG00000137857,DUOX1
ENSG00000163536,SERPINI1
ENSG00000109472,CPE
ENSG00000005020,SKAP2
ENSG00000171766,GATM
ENSG00000198417,MT1F
ENSG00000158805,ZNF276
ENSG00000123416,TUBA1B
ENSG00000129521,EGLN3
ENSG00000260807,RP11-161M6.2
ENSG00000129219,PLD2
ENSG00000035664,DAPK2
ENSG00000081041,CXCL2
ENSG00000115970,THADA
ENSG00000110881,ASIC1
ENSG00000172575,RASGRP1
ENSG00000112149,CD83
ENSG00000159674,SPON2
ENSG00000111424,VDR
ENSG00000136770,DNAJC1
ENSG00000169122,FAM110B
ENSG00000154978,VOPP1
ENSG00000204711,C9orf135
ENSG00000235162,C12orf75
ENSG00000101438,SLC32A1
ENSG00000196376,SLC35F1
ENSG00000140368,PSTPIP1
ENSG00000141750,STAC2
ENSG00000144802,NFKBIZ
ENSG00000211584,SLC48A1
ENSG00000100276,RASL10A
ENSG00000188042,ARL4C
ENSG00000114423,CBLB
ENSG00000119139,TJP2
ENSG00000128335,APOL2
ENSG00000131747,TOP2A
ENSG00000183696,UPP1
ENSG00000158164,TMSB15A
ENSG00000173193,PARP14
ENSG00000169213,RAB3B
ENSG00000239857,GET4
ENSG00000102755,FLT1
ENSG00000133056,PIK3C2B
ENSG00000139433,GLTP
ENSG00000090006,LTBP4
ENSG00000129422,MTUS1
ENSG00000186350,RXRA
ENSG00000142583,SLC2A5
ENSG00000169136,ATF5
ENSG00000109689,STIM2
ENSG00000135378,PRRG4
ENSG00000179862,CITED4
ENSG00000005889,ZFX
ENSG00000272870,RP11-798M19.6
ENSG00000010327,STAB1
ENSG00000134954,ETS1
ENSG00000170017,ALCAM
ENSG00000117298,ECE1
ENSG00000161298,ZNF382
ENSG00000143970,ASXL2
ENSG00000154928,EPHB1
ENSG00000163947,ARHGEF3
ENSG00000245105,A2M-AS1
ENSG00000005844,ITGAL
ENSG00000010671,BTK
ENSG00000102879,CORO1A
ENSG00000164303,ENPP6
ENSG00000184113,CLDN5
ENSG00000113240,CLK4
ENSG00000112137,PHACTR1
ENSG00000162231,NXF1
ENSG00000089685,BIRC5
ENSG00000185246,PRPF39
ENSG00000137942,FNBP1L
ENSG00000145685,LHFPL2
ENSG00000130702,LAMA5
ENSG00000173068,BNC2
ENSG00000114268,PFKFB4
ENSG00000172000,ZNF556
ENSG00000188732,FAM221A
ENSG00000174136,RGMB
ENSG00000160683,CXCR5
