ensmbl
TRIM63,ENSG00000158022
IGFBP7,ENSG00000163453
PRKD3,ENSG00000115825
CCDC3,ENSG00000151468
ZDBF2,ENSG00000204186
INSR,ENSG00000171105
ARHGAP18,ENSG00000146376
TTTY15,ENSG00000233864
FAM53B,ENSG00000189319
DPYD,ENSG00000188641
MED11,ENSG00000161920
CTA-29F11.1,ENSG00000260708
EMILIN1,ENSG00000138080
PLOD2,ENSG00000152952
CD37,ENSG00000104894
TMEM132A,ENSG00000006118
PHRF1,ENSG00000070047
FMNL2,ENSG00000157827
NACAD,ENSG00000136274
PPP1R15B,ENSG00000158615
HAPLN2,ENSG00000132702
CBFA2T2,ENSG00000078699
B3GNT7,ENSG00000156966
DUSP18,ENSG00000167065
SLCO3A1,ENSG00000176463
FADS2,ENSG00000134824
RGR,ENSG00000148604
HCN2,ENSG00000099822
SLFN5,ENSG00000166750
JAKMIP1,ENSG00000152969
EDN1,ENSG00000078401
TCN2,ENSG00000185339
PAXBP1,ENSG00000159086
GAS6,ENSG00000183087
HES1,ENSG00000114315
SYNC,ENSG00000162520
TBCD,ENSG00000141556
EGR1,ENSG00000120738
ADGRG1,ENSG00000205336
ADGRL3,ENSG00000150471
FOS,ENSG00000170345
CTSH,ENSG00000103811
FAM174B,ENSG00000185442
MECOM,ENSG00000085276
CD4,ENSG00000010610
RP11-196G11.2,ENSG00000260911
HES5,ENSG00000197921
SH2B3,ENSG00000111252
ST6GAL2,ENSG00000144057
KIAA0753,ENSG00000198920
PLP2,ENSG00000102007
KPNA5,ENSG00000196911
NOTCH2,ENSG00000134250
AXL,ENSG00000167601
RIF1,ENSG00000080345
TOB2,ENSG00000183864
NPPC,ENSG00000163273
LAYN,ENSG00000204381
RPS6KA5,ENSG00000100784
OLFM1,ENSG00000130558
ARHGAP24,ENSG00000138639
RP11-359E10.1,ENSG00000270607
AGO3,ENSG00000126070
WDR76,ENSG00000092470
SMOX,ENSG00000088826
AGMAT,ENSG00000116771
AR,ENSG00000169083
PGF,ENSG00000119630
EXOSC9,ENSG00000123737
HPRT1,ENSG00000165704
EVI2A,ENSG00000126860
SETDB2,ENSG00000136169
LSR,ENSG00000105699
MORN3,ENSG00000139714
RCBTB2,ENSG00000136161
CDK13,ENSG00000065883
CYSLTR1,ENSG00000173198
GBP4,ENSG00000162654
MT-ND2,ENSG00000198763
TRAC,ENSG00000277734
EED,ENSG00000074266
OLFML3,ENSG00000116774
ZNF429,ENSG00000197013
BCL2L11,ENSG00000153094
NIPAL3,ENSG00000001461
EDNRB,ENSG00000136160
INAFM1,ENSG00000257704
RENBP,ENSG00000102032
MAML3,ENSG00000196782
NLRC5,ENSG00000140853
MMS22L,ENSG00000146263
FAM20C,ENSG00000177706
MELTF,ENSG00000163975
PLPP3,ENSG00000162407
NUP153,ENSG00000124789
MDK,ENSG00000110492
ORAI3,ENSG00000175938
DLX2,ENSG00000115844
NBEA,ENSG00000172915
DDX58,ENSG00000107201
CDK6,ENSG00000105810
ARID4A,ENSG00000032219
SOX5,ENSG00000134532
EFHB,ENSG00000163576
GK,ENSG00000198814
DDIT3,ENSG00000175197
ZNF704,ENSG00000164684
MED23,ENSG00000112282
HAP1,ENSG00000173805
ZNF76,ENSG00000065029
ZNF711,ENSG00000147180
ESCO1,ENSG00000141446
RIT2,ENSG00000152214
PHLDA3,ENSG00000174307
SLC16A7,ENSG00000118596
THBS1,ENSG00000137801
NFKB1,ENSG00000109320
GBE1,ENSG00000114480
CCDC18,ENSG00000122483
RP11-620J15.3,ENSG00000257698
SCGN,ENSG00000079689
USP1,ENSG00000162607
MPZL3,ENSG00000160588
MCM9,ENSG00000111877
CREG1,ENSG00000143162
ETNK2,ENSG00000143845
PLA2G6,ENSG00000184381
SIPA1,ENSG00000213445
BAG3,ENSG00000151929
LYRM4,ENSG00000214113
EGFL7,ENSG00000172889
DTX3,ENSG00000178498
BLNK,ENSG00000095585
NEURL1B,ENSG00000214357
USH1C,ENSG00000006611
GSX1,ENSG00000169840
ARHGAP11A,ENSG00000198826
FAM126B,ENSG00000155744
CA14,ENSG00000118298
LARP6,ENSG00000166173
NEDD4L,ENSG00000049759
PLPPR4,ENSG00000117600
CCNB2,ENSG00000157456
RND2,ENSG00000108830
CD38,ENSG00000004468
CDC14A,ENSG00000079335
KCTD12,ENSG00000178695
DPF3,ENSG00000205683
RASA3,ENSG00000185989
ROBO3,ENSG00000154134
TMSB4X,ENSG00000205542
ZNF827,ENSG00000151612
AGAP2,ENSG00000135439
AMPD3,ENSG00000133805
ZNF333,ENSG00000160961
NKX2-2,ENSG00000125820
AHI1,ENSG00000135541
UBE2C,ENSG00000175063
DNASE1,ENSG00000213918
CCDC91,ENSG00000123106
PTPRS,ENSG00000105426
CISH,ENSG00000114737
TLR5,ENSG00000187554
ADAM17,ENSG00000151694
NALCN,ENSG00000102452
VAMP4,ENSG00000117533
DUSP1,ENSG00000120129
FN1,ENSG00000115414
TMEM255A,ENSG00000125355
SH3GLB2,ENSG00000148341
ZNF33B,ENSG00000196693
RP11-83A24.2,ENSG00000273247
CYYR1,ENSG00000166265
ATG2A,ENSG00000110046
KIFC1,ENSG00000056678
FAM13A,ENSG00000138640
SULF1,ENSG00000137573
B3GALT2,ENSG00000162630
MT-ND6,ENSG00000198695
RCAN1,ENSG00000159200
SEC14L5,ENSG00000103184
RB1,ENSG00000139687
MT1H,ENSG00000205358
CACNB4,ENSG00000182389
BICDL1,ENSG00000135127
MRO,ENSG00000134042
MYC,ENSG00000136997
PAQR7,ENSG00000182749
TRPV1,ENSG00000196689
PPP2R3A,ENSG00000073711
ZNF514,ENSG00000144026
DICER1,ENSG00000100697
CTNND2,ENSG00000169862
TLR1,ENSG00000174125
TSPAN18,ENSG00000157570
FBLN5,ENSG00000140092
KCNQ1OT1,ENSG00000269821
DCT,ENSG00000080166
TUSC3,ENSG00000104723
NRXN3,ENSG00000021645
MIR181A1HG,ENSG00000229989
KMT2A,ENSG00000118058
SERPING1,ENSG00000149131
ZNF75A,ENSG00000162086
NDUFA4L2,ENSG00000185633
ZBTB38,ENSG00000177311
ELOVL4,ENSG00000118402
CCT6A,ENSG00000146731
CHAC1,ENSG00000128965
TRO,ENSG00000067445
TNFRSF4,ENSG00000186827
PTBP2,ENSG00000117569
SCAMP1-AS1,ENSG00000245556
FBXO44,ENSG00000132879
ARRDC3,ENSG00000113369
CTD-2020K17.1,ENSG00000267121
GSN,ENSG00000148180
ARRDC2,ENSG00000105643
AGBL2,ENSG00000165923
HLA-DMA,ENSG00000204257
CHCHD2,ENSG00000106153
WLS,ENSG00000116729
RP11-670E13.6,ENSG00000274213
PEX1,ENSG00000127980
CLEC7A,ENSG00000172243
OGFRL1,ENSG00000119900
SLN,ENSG00000170290
HEXIM1,ENSG00000186834
LINC01089,ENSG00000212694
MAOB,ENSG00000069535
PI15,ENSG00000137558
TRANK1,ENSG00000168016
SMC2,ENSG00000136824
NT5DC1,ENSG00000178425
HIBCH,ENSG00000198130
RASSF3,ENSG00000153179
PXK,ENSG00000168297
TGFBR3,ENSG00000069702
TMEM63A,ENSG00000196187
CENPW,ENSG00000203760
ACP7,ENSG00000183760
SSBP3,ENSG00000157216
NRXN1,ENSG00000179915
HELLS,ENSG00000119969
ARL4A,ENSG00000122644
RAB20,ENSG00000139832
CXADR,ENSG00000154639
SCN1A,ENSG00000144285
ATP8B2,ENSG00000143515
SYT6,ENSG00000134207
MT2A,ENSG00000125148
LMNA,ENSG00000160789
FNBP4,ENSG00000109920
RILPL2,ENSG00000150977
KIAA2012,ENSG00000182329
CSPP1,ENSG00000104218
DOK5,ENSG00000101134
LAMB2,ENSG00000172037
ACSL6,ENSG00000164398
SLC25A18,ENSG00000182902
SLFN12,ENSG00000172123
PRR16,ENSG00000184838
LDOC1,ENSG00000182195
RELB,ENSG00000104856
ZNF7,ENSG00000147789
SEMA3A,ENSG00000075213
CYFIP2,ENSG00000055163
SLC8A1,ENSG00000183023
PTK2B,ENSG00000120899
TMEM144,ENSG00000164124
DBI,ENSG00000155368
CCDC28B,ENSG00000160050
GPD1,ENSG00000167588
GNAO1,ENSG00000087258
SIRT2,ENSG00000068903
KLF13,ENSG00000169926
RAD51AP1,ENSG00000111247
CXXC5,ENSG00000171604
SLC7A14,ENSG00000013293
TRA2B,ENSG00000136527
RBM12B,ENSG00000183808
SGIP1,ENSG00000118473
RHOF,ENSG00000139725
CLEC2D,ENSG00000069493
DHCR24,ENSG00000116133
ZNF708,ENSG00000182141
ICAM1,ENSG00000090339
TANC1,ENSG00000115183
CD84,ENSG00000066294
FAM210A,ENSG00000177150
TSPAN15,ENSG00000099282
UCP2,ENSG00000175567
SHROOM1,ENSG00000164403
SGO2,ENSG00000163535
SUPT5H,ENSG00000196235
RERE,ENSG00000142599
STAT1,ENSG00000115415
NPAS3,ENSG00000151322
CIT,ENSG00000122966
SCPEP1,ENSG00000121064
ZNF83,ENSG00000167766
CD14,ENSG00000170458
MYO9B,ENSG00000099331
CNBD2,ENSG00000149646
HOXA5,ENSG00000106004
CCL5,ENSG00000271503
EPSTI1,ENSG00000133106
LDLRAP1,ENSG00000157978
SLAIN1,ENSG00000139737
PATL2,ENSG00000229474
CHD7,ENSG00000171316
MT1A,ENSG00000205362
ADAM8,ENSG00000151651
GAB1,ENSG00000109458
RP11-242D8.1,ENSG00000267002
HSPG2,ENSG00000142798
LINC01006,ENSG00000182648
POU3F1,ENSG00000185668
SQSTM1,ENSG00000161011
FGL2,ENSG00000127951
PGM5,ENSG00000154330
MYL9,ENSG00000101335
SNAP25,ENSG00000132639
PAWR,ENSG00000177425
MLKL,ENSG00000168404
PDCD4,ENSG00000150593
NAPB,ENSG00000125814
FAM172A,ENSG00000113391
PTP4A3,ENSG00000184489
COMMD3,ENSG00000148444
IER2,ENSG00000160888
PIAS2,ENSG00000078043
B3GNT5,ENSG00000176597
DGKI,ENSG00000157680
EFHC1,ENSG00000096093
PDGFA,ENSG00000197461
UBR3,ENSG00000144357
METTL1,ENSG00000037897
LGALS9,ENSG00000168961
RN7SK,ENSG00000283293
SIDT1,ENSG00000072858
VCPKMT,ENSG00000100483
EEPD1,ENSG00000122547
DGCR5,ENSG00000237517
DENND3,ENSG00000105339
MT3,ENSG00000087250
SBF2,ENSG00000133812
SLC37A3,ENSG00000157800
VWA5A,ENSG00000110002
CDS1,ENSG00000163624
RGS17,ENSG00000091844
RP11-1275H24.2,ENSG00000272953
CNKSR3,ENSG00000153721
SYNE2,ENSG00000054654
LUCAT1,ENSG00000248323
NIPSNAP3A,ENSG00000136783
GAPDH,ENSG00000111640
CSRNP3,ENSG00000178662
ASGR1,ENSG00000141505
KRT75,ENSG00000170454
MT1G,ENSG00000125144
ADGRV1,ENSG00000164199
AC004158.3,ENSG00000260664
SLC35E3,ENSG00000175782
TTYH2,ENSG00000141540
TYMS,ENSG00000176890
NPY,ENSG00000122585
DZIP3,ENSG00000198919
TAGLN3,ENSG00000144834
LINC00844,ENSG00000237949
JAML,ENSG00000160593
MEFV,ENSG00000103313
PCP4,ENSG00000183036
BAZ2B,ENSG00000123636
MFNG,ENSG00000100060
PLXNB1,ENSG00000164050
ZNF691,ENSG00000164011
MLC1,ENSG00000100427
FBXO5,ENSG00000112029
OLFM2,ENSG00000105088
IGSF8,ENSG00000162729
MALT1,ENSG00000172175
TDRD9,ENSG00000156414
KIF5A,ENSG00000155980
TPST1,ENSG00000169902
LRRK1,ENSG00000154237
SPTB,ENSG00000070182
FOXM1,ENSG00000111206
ANK2,ENSG00000145362
STAG3,ENSG00000066923
L1CAM,ENSG00000198910
PTPRD-AS1,ENSG00000225706
OPTN,ENSG00000123240
YES1,ENSG00000176105
GTSE1,ENSG00000075218
RFX4,ENSG00000111783
COL9A2,ENSG00000049089
CPT1C,ENSG00000169169
LRCH3,ENSG00000186001
CSTB,ENSG00000160213
MYH11,ENSG00000133392
SDC3,ENSG00000162512
ARHGAP25,ENSG00000163219
TRPM7,ENSG00000092439
MYO9A,ENSG00000066933
SOX4,ENSG00000124766
GPATCH8,ENSG00000186566
SCIN,ENSG00000006747
C1QL1,ENSG00000131094
SGK1,ENSG00000118515
CLOCK,ENSG00000134852
IGFBP2,ENSG00000115457
SOX8,ENSG00000005513
IFI30,ENSG00000216490
CCDC69,ENSG00000198624
SEZ6L,ENSG00000100095
LAT,ENSG00000213658
KIAA1109,ENSG00000138688
ADPRM,ENSG00000170222
PLS3,ENSG00000102024
NFIA,ENSG00000162599
LRRC2,ENSG00000163827
PPP1R1A,ENSG00000135447
ABHD4,ENSG00000100439
HK2,ENSG00000159399
AGTPBP1,ENSG00000135049
SLC2A1,ENSG00000117394
ZNF225,ENSG00000256294
MGAT4A,ENSG00000071073
LIF,ENSG00000128342
TESC,ENSG00000088992
SRGAP3,ENSG00000196220
ATP10A,ENSG00000206190
PAQR8,ENSG00000170915
GZMM,ENSG00000197540
SUN2,ENSG00000100242
GNG3,ENSG00000162188
IGFBP4,ENSG00000141753
MICAL3,ENSG00000243156
ECD,ENSG00000122882
PCDH17,ENSG00000118946
GPER1,ENSG00000164850
JUNB,ENSG00000171223
FURIN,ENSG00000140564
RGS19,ENSG00000171700
CRISPLD1,ENSG00000121005
WNT5A,ENSG00000114251
HRH1,ENSG00000196639
GIMAP2,ENSG00000106560
CCND1,ENSG00000110092
MARCKSL1,ENSG00000175130
RAPGEF4,ENSG00000091428
IGSF21,ENSG00000117154
CDKN2A,ENSG00000147889
ABCC3,ENSG00000108846
HSD17B7,ENSG00000132196
HOPX,ENSG00000171476
ABCD2,ENSG00000173208
KIAA0586,ENSG00000100578
MOB3B,ENSG00000120162
AIM2,ENSG00000163568
DUSP10,ENSG00000143507
CTSB,ENSG00000164733
ACSS2,ENSG00000131069
LTBR,ENSG00000111321
DOCK10,ENSG00000135905
LINC00243,ENSG00000214894
LMAN2L,ENSG00000114988
GAL3ST4,ENSG00000197093
TAF1,ENSG00000147133
UHRF2,ENSG00000147854
ERICH1,ENSG00000104714
PROX1,ENSG00000117707
GPALPP1,ENSG00000133114
LOXL2,ENSG00000134013
AHR,ENSG00000106546
SCG2,ENSG00000171951
SCN4B,ENSG00000177098
MIR99AHG,ENSG00000215386
FIGN,ENSG00000182263
EREG,ENSG00000124882
TMEM37,ENSG00000171227
PLEKHF2,ENSG00000175895
BEST3,ENSG00000127325
KBTBD11,ENSG00000176595
ZNF589,ENSG00000164048
PARP9,ENSG00000138496
ABAT,ENSG00000183044
CSTF2T,ENSG00000177613
PLA2G4C,ENSG00000105499
GALNT6,ENSG00000139629
COL4A5,ENSG00000188153
PCSK7,ENSG00000160613
FRYL,ENSG00000075539
SLC14A1,ENSG00000141469
ZDHHC20,ENSG00000180776
MITD1,ENSG00000158411
DLX6,ENSG00000006377
CLEC4A,ENSG00000111729
FKBP5,ENSG00000096060
VWF,ENSG00000110799
TYROBP,ENSG00000011600
SOX3,ENSG00000134595
HYPK,ENSG00000242028
ERG,ENSG00000157554
IFIT3,ENSG00000119917
REV3L,ENSG00000009413
TSPAN7,ENSG00000156298
SERTAD1,ENSG00000197019
NPTXR,ENSG00000221890
NELL2,ENSG00000184613
TRAF1,ENSG00000056558
ZBTB20,ENSG00000181722
PACS2,ENSG00000179364
TMEM243,ENSG00000135185
BTG1,ENSG00000133639
WDR5B,ENSG00000196981
BCAT2,ENSG00000105552
GAN,ENSG00000261609
CNIH2,ENSG00000174871
ADM,ENSG00000148926
B3GNT2,ENSG00000170340
IQCG,ENSG00000114473
CEP135,ENSG00000174799
ZNF830,ENSG00000198783
ZCWPW1,ENSG00000078487
CEP97,ENSG00000182504
ABHD17B,ENSG00000107362
TGIF1,ENSG00000177426
PLEKHA1,ENSG00000107679
C3,ENSG00000125730
PTGS2,ENSG00000073756
KIF26B,ENSG00000162849
VSNL1,ENSG00000163032
TEX14,ENSG00000121101
EGR2,ENSG00000122877
BAALC-AS1,ENSG00000247081
ZC2HC1A,ENSG00000104427
LANCL2,ENSG00000132434
ACKR3,ENSG00000144476
PPP1R12B,ENSG00000077157
NCOA7,ENSG00000111912
RN7SL832P,ENSG00000243819
SMPD3,ENSG00000103056
CTH,ENSG00000116761
B4GALNT1,ENSG00000135454
SLC25A38,ENSG00000144659
FZD7,ENSG00000155760
PTPRG,ENSG00000144724
GPRC5A,ENSG00000013588
ORMDL3,ENSG00000172057
HOXD1,ENSG00000128645
DDX60L,ENSG00000181381
SNTA1,ENSG00000101400
IFT80,ENSG00000068885
CARMN,ENSG00000249669
NOTCH1,ENSG00000148400
MAD2L1,ENSG00000164109
CLSTN3,ENSG00000139182
MYT1L,ENSG00000186487
IFFO2,ENSG00000169991
GPSM2,ENSG00000121957
BCL11B,ENSG00000127152
WBP4,ENSG00000120688
TMEM106A,ENSG00000184988
SBK1,ENSG00000188322
SEC61G,ENSG00000132432
CDK5R1,ENSG00000176749
MSI2,ENSG00000153944
PODXL,ENSG00000128567
RP11-498P14.5,ENSG00000203279
ZSCAN26,ENSG00000197062
ELF1,ENSG00000120690
HAMP,ENSG00000105697
NETO1,ENSG00000166342
CKB,ENSG00000166165
CPD,ENSG00000108582
CPS1,ENSG00000021826
SLC40A1,ENSG00000138449
RASD1,ENSG00000108551
EFHD2,ENSG00000142634
DDX3Y,ENSG00000067048
ARHGAP33,ENSG00000004777
ATXN7,ENSG00000163635
TOB1,ENSG00000141232
LINC00672,ENSG00000263874
DNALI1,ENSG00000163879
ZNF557,ENSG00000130544
MYH15,ENSG00000144821
CDH5,ENSG00000179776
ROBO4,ENSG00000154133
KBTBD3,ENSG00000182359
RUNX1,ENSG00000159216
ARHGDIB,ENSG00000111348
F3,ENSG00000117525
NES,ENSG00000132688
PCMTD2,ENSG00000203880
RP11-712B9.2,ENSG00000245552
GPR82,ENSG00000171657
ACTL6B,ENSG00000077080
UACA,ENSG00000137831
LGI4,ENSG00000153902
HSPH1,ENSG00000120694
RFX3-AS1,ENSG00000232104
FOLR3,ENSG00000110203
FRY,ENSG00000073910
PIM1,ENSG00000137193
CNTNAP4,ENSG00000152910
AMOT,ENSG00000126016
IKZF3,ENSG00000161405
MFSD2A,ENSG00000168389
LYRM9,ENSG00000232859
RP11-1114A5.4,ENSG00000232611
FGR,ENSG00000000938
NNMT,ENSG00000166741
ESCO2,ENSG00000171320
PHGDH,ENSG00000092621
TCF7,ENSG00000081059
MDN1,ENSG00000112159
CLYBL,ENSG00000125246
KLF12,ENSG00000118922
CEP126,ENSG00000110318
CD226,ENSG00000150637
ARID2,ENSG00000189079
FAM162A,ENSG00000114023
CPNE8,ENSG00000139117
WSCD1,ENSG00000179314
ZNF385A,ENSG00000161642
CCR4,ENSG00000183813
BCAN,ENSG00000132692
FSTL1,ENSG00000163430
PID1,ENSG00000153823
AQP3,ENSG00000165272
COL18A1,ENSG00000182871
ADRB1,ENSG00000043591
SVIL,ENSG00000197321
PTPRK,ENSG00000152894
TLE3,ENSG00000140332
SPARC,ENSG00000113140
CYBA,ENSG00000051523
HAS2,ENSG00000170961
TMEM140,ENSG00000146859
NECTIN1,ENSG00000110400
TSC22D1,ENSG00000102804
GSAP,ENSG00000186088
RASA4,ENSG00000105808
LCP1,ENSG00000136167
RORA,ENSG00000069667
ROGDI,ENSG00000067836
FYN,ENSG00000010810
RNF19A,ENSG00000034677
MTERF1,ENSG00000127989
ACACB,ENSG00000076555
JUN,ENSG00000177606
NAV1,ENSG00000134369
ZNF618,ENSG00000157657
TRMT13,ENSG00000122435
GPRC5C,ENSG00000170412
LMCD1,ENSG00000071282
DDHD1,ENSG00000100523
METRNL,ENSG00000176845
ATP2B1,ENSG00000070961
STAT6,ENSG00000166888
CACYBP,ENSG00000116161
PCAT19,ENSG00000267107
LRRC34,ENSG00000171757
PDK4,ENSG00000004799
GPM6B,ENSG00000046653
PCSK1,ENSG00000175426
EMP2,ENSG00000213853
JAG1,ENSG00000101384
TRIM73,ENSG00000178809
ZNF493,ENSG00000196268
PIK3CD,ENSG00000171608
DEPTOR,ENSG00000155792
LY6E,ENSG00000160932
ITGA6,ENSG00000091409
CFD,ENSG00000197766
SGSM1,ENSG00000167037
LRRC4C,ENSG00000148948
CRABP2,ENSG00000143320
KCNE1,ENSG00000180509
SNX10,ENSG00000086300
SESN1,ENSG00000080546
EXPH5,ENSG00000110723
UCHL1,ENSG00000154277
COTL1,ENSG00000103187
PBXIP1,ENSG00000163346
ARIH1,ENSG00000166233
RRAS2,ENSG00000133818
RANBP2,ENSG00000153201
FNDC3B,ENSG00000075420
PLAC8,ENSG00000145287
MYBPHL,ENSG00000221986
NHS,ENSG00000188158
STAT5B,ENSG00000173757
TGFBI,ENSG00000120708
CA3,ENSG00000164879
CTSD,ENSG00000117984
FAM126A,ENSG00000122591
CCDC65,ENSG00000139537
HMOX1,ENSG00000100292
DIO2,ENSG00000211448
KIAA1671,ENSG00000197077
ZSCAN18,ENSG00000121413
ARHGEF10,ENSG00000104728
OXNAD1,ENSG00000154814
AMH,ENSG00000104899
CREBZF,ENSG00000137504
IRF7,ENSG00000185507
PPIF,ENSG00000108179
MAPK13,ENSG00000156711
SLC4A4,ENSG00000080493
PBX1,ENSG00000185630
FMN2,ENSG00000155816
IGHG3,ENSG00000211897
MSRB3,ENSG00000174099
SNAI1,ENSG00000124216
FAM13B,ENSG00000031003
HES4,ENSG00000188290
TMEM151B,ENSG00000178233
SLFN13,ENSG00000154760
EZH2,ENSG00000106462
KIFC2,ENSG00000167702
RERGL,ENSG00000111404
JPH4,ENSG00000092051
FADS3,ENSG00000221968
STK10,ENSG00000072786
RP11-713P17.3,ENSG00000204241
C1QB,ENSG00000173369
SPNS2,ENSG00000183018
TMPRSS5,ENSG00000166682
FAM118A,ENSG00000100376
TP53TG5,ENSG00000124251
TFRC,ENSG00000072274
CSRP1,ENSG00000159176
FAM193B,ENSG00000146067
FAM83D,ENSG00000101447
MT1HL1,ENSG00000244020
HBP1,ENSG00000105856
FGD4,ENSG00000139132
PLEKHH1,ENSG00000054690
SNRNP35,ENSG00000184209
LAS1L,ENSG00000001497
DLG2,ENSG00000150672
LINC00632,ENSG00000203930
HIVEP2,ENSG00000010818
GPR153,ENSG00000158292
RELN,ENSG00000189056
CD200,ENSG00000091972
GNAI1,ENSG00000127955
SAMD4A,ENSG00000020577
B4GALNT4,ENSG00000182272
HEATR5B,ENSG00000008869
MYRIP,ENSG00000170011
ELOVL1,ENSG00000066322
CENPA,ENSG00000115163
VPREB3,ENSG00000128218
LAG3,ENSG00000089692
UGCG,ENSG00000148154
HLA-DRB1,ENSG00000196126
FRMD4B,ENSG00000114541
NKTR,ENSG00000114857
ECT2,ENSG00000114346
HERC4,ENSG00000148634
GLDN,ENSG00000186417
AC013461.1,ENSG00000091436
APLP1,ENSG00000105290
TTC9B,ENSG00000174521
C1orf216,ENSG00000142686
NCAN,ENSG00000130287
SORBS2,ENSG00000154556
GIGYF1,ENSG00000146830
KIF21A,ENSG00000139116
CDKN1B,ENSG00000111276
SPRTN,ENSG00000010072
CDO1,ENSG00000129596
NOL6,ENSG00000165271
CD82,ENSG00000085117
STK36,ENSG00000163482
ANXA2R,ENSG00000177721
CADPS,ENSG00000163618
WAS,ENSG00000015285
SLC9A5,ENSG00000135740
STEAP4,ENSG00000127954
CTTN,ENSG00000085733
SOX2-OT,ENSG00000242808
KALRN,ENSG00000160145
LPCAT1,ENSG00000153395
SKIL,ENSG00000136603
SASS6,ENSG00000156876
CDR1-AS,ENSG00000281508
PSPH,ENSG00000146733
SSPN,ENSG00000123096
OMA1,ENSG00000162600
DNAJB1,ENSG00000132002
MIR210HG,ENSG00000247095
TSPAN13,ENSG00000106537
ATP10B,ENSG00000118322
ANKRD28,ENSG00000206560
PRR5L,ENSG00000135362
SEMA3E,ENSG00000170381
AHCYL1,ENSG00000168710
SH2D3C,ENSG00000095370
FAM217B,ENSG00000196227
CARNS1,ENSG00000172508
ARID1B,ENSG00000049618
CRB2,ENSG00000148204
PCDHB9,ENSG00000177839
CCDC88C,ENSG00000015133
SNHG18,ENSG00000250786
PTGIR,ENSG00000160013
RFC4,ENSG00000163918
KCNJ14,ENSG00000182324
ARHGAP35,ENSG00000160007
PIWIL2,ENSG00000197181
APOA1,ENSG00000118137
DIP2A,ENSG00000160305
PHTF2,ENSG00000006576
CH25H,ENSG00000138135
IL13RA1,ENSG00000131724
COL9A3,ENSG00000092758
BBS4,ENSG00000140463
COL27A1,ENSG00000196739
TYMP,ENSG00000025708
MPZ,ENSG00000158887
CDK4,ENSG00000135446
CUL9,ENSG00000112659
S1PR3,ENSG00000213694
TIGIT,ENSG00000181847
FCAR,ENSG00000186431
PCSK2,ENSG00000125851
RP11-51J9.5,ENSG00000271869
OTUD7A,ENSG00000169918
PRUNE2,ENSG00000106772
PAQR6,ENSG00000160781
CLN8,ENSG00000182372
NAA25,ENSG00000111300
DGKD,ENSG00000077044
SYNE1,ENSG00000131018
EID3,ENSG00000255150
GUCY1A2,ENSG00000152402
IFIT2,ENSG00000119922
BAALC,ENSG00000164929
NR4A2,ENSG00000153234
HIGD1B,ENSG00000131097
ABHD12B,ENSG00000131969
ENDOD1,ENSG00000149218
AMER2,ENSG00000165566
DCAF4L1,ENSG00000182308
TNRC18,ENSG00000182095
TMEM178A,ENSG00000152154
MYLK,ENSG00000065534
PHYHIPL,ENSG00000165443
TENM1,ENSG00000009694
RAI14,ENSG00000039560
CNN3,ENSG00000117519
NSMCE3,ENSG00000185115
CYTH1,ENSG00000108669
NHLH2,ENSG00000177551
ADA,ENSG00000196839
SPATA17,ENSG00000162814
CCNT1,ENSG00000129315
CENPE,ENSG00000138778
PIFO,ENSG00000173947
MAGI1,ENSG00000151276
ZNF442,ENSG00000198342
MYOM2,ENSG00000036448
GAP43,ENSG00000172020
IL1R1,ENSG00000115594
SLC7A7,ENSG00000155465
UBXN11,ENSG00000158062
PTGR1,ENSG00000106853
SLC7A5,ENSG00000103257
SMOC1,ENSG00000198732
RP11-693J15.5,ENSG00000205056
LTF,ENSG00000012223
GBP3,ENSG00000117226
CXCL12,ENSG00000107562
VIM-AS1,ENSG00000229124
FAM161A,ENSG00000170264
SNAPC1,ENSG00000023608
SREBF1,ENSG00000072310
CEP44,ENSG00000164118
TNFAIP3,ENSG00000118503
SYCP2,ENSG00000196074
INHBA,ENSG00000122641
ZNF451,ENSG00000112200
CITED2,ENSG00000164442
RIIAD1,ENSG00000178796
HSPA1A,ENSG00000204389
POU3F2,ENSG00000184486
IGF2BP2,ENSG00000073792
SMKR1,ENSG00000240204
ARPP21,ENSG00000172995
IFITM1,ENSG00000185885
VAMP1,ENSG00000139190
ZBTB11,ENSG00000066422
FUOM,ENSG00000148803
PIK3CA,ENSG00000121879
ERV3-1,ENSG00000213462
FERMT3,ENSG00000149781
CXCR4,ENSG00000121966
FBXL20,ENSG00000108306
FTH1,ENSG00000167996
ABCA1,ENSG00000165029
XKR8,ENSG00000158156
IMMP1L,ENSG00000148950
NXPE3,ENSG00000144815
MED13L,ENSG00000123066
CHGB,ENSG00000089199
EPHA1,ENSG00000146904
ADGRL4,ENSG00000162618
GPX1,ENSG00000233276
PROM1,ENSG00000007062
TSC22D3,ENSG00000157514
MTURN,ENSG00000180354
LMO2,ENSG00000135363
CTSK,ENSG00000143387
LRRC8B,ENSG00000197147
P2RY12,ENSG00000169313
PLXNA2,ENSG00000076356
ANKRA2,ENSG00000164331
HTRA1,ENSG00000166033
TACC3,ENSG00000013810
IGFLR1,ENSG00000126246
PLP1,ENSG00000123560
CRNDE,ENSG00000245694
ACTN2,ENSG00000077522
AKR1C1,ENSG00000187134
TBCK,ENSG00000145348
OSR2,ENSG00000164920
SVIP,ENSG00000198168
FRMD4A,ENSG00000151474
GBA2,ENSG00000070610
CSAD,ENSG00000139631
RND1,ENSG00000172602
FXYD6,ENSG00000137726
